Country,date,numCase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/1/2020,110574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/2/2020,115242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/3/2020,119827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/4/2020,124632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/5/2020,128948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/6/2020,132547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/7/2020,135586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/8/2020,139422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/9/2020,143626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/10/2020,147577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/11/2020,152271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/12/2020,156363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/13/2020,159516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/14/2020,162488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/15/2020,165155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/16/2020,168941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/17/2020,172434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/18/2020,175925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/19/2020,178972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/20/2020,181228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/21/2020,183957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/22/2020,187327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/23/2020,189973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/24/2020,192994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/25/2020,195351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/26/2020,197675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/27/2020,199414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/28/2020,201505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,4/29/2020,203591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
